Temperature (°C),Heat Capacity (Normalized) (J/(g.°C)),Enthalpy (J/g)
3.0444444444444443,1.79,0.0
3.421328866554997,1.800537688442211,0.6772688442211059
3.7982132886655497,1.81,1.3581216080402008
4.175097710776103,1.816,2.0418663316582926
4.551982132886655,1.8231507537688443,2.727956281407035
4.928866554997208,1.8271557788944723,3.4162391959798994
5.305750977107762,1.8323869346733668,4.106313567839197
5.682635399218314,1.8357638190954773,4.797856783919599
6.059519821328866,1.8383015075376885,5.490338693467336
6.436404243439419,1.843,6.184481909547738
6.8132886655499725,1.8473768844221106,6.8799241206030155
7.190173087660525,1.8489145728643217,7.576597989949751
7.567057509771078,1.8514522613065327,8.274102010050255
7.94394193188163,1.8549899497487436,8.972567839195978
8.320826353992183,1.8585276381909548,9.672393969849246
8.697710776102735,1.8610653266331658,10.373381909547739
9.074595198213288,1.8623015075376885,11.074870854271357
9.451479620323841,1.864070351758794,11.777320603015076
9.828364042434394,1.8668391959798996,12.480377889447237
10.205248464544947,1.867,13.18392110552764
10.5821328866555,1.8693768844221106,13.888277386934675
10.959017308766054,1.871854271356784,14.59316582914573
11.335901730876605,1.8730854271356785,15.298999497487436
11.712786152987158,1.877683417085427,16.00624572864322
12.089670575097712,1.881,16.714570351758795
12.466554997208265,1.8816633165829146,17.423556281407038
12.843439419318816,1.8849698492462312,18.13350552763819
13.22032384142937,1.8875175879396984,18.84446030150754
13.597208263539923,1.8905276381909548,19.55637638190955
13.974092685650476,1.8912964824120604,20.26929447236181
14.350977107761027,1.8950653266331658,20.982885929648237
14.72786152987158,1.8978341708542714,21.697825628140706
15.104745951982133,1.9016030150753769,22.414193467336677
15.481630374092687,1.9027437185929648,23.13140201005026
15.85851479620324,1.906,23.849118090452258
16.23539921831379,1.9107286432160804,24.568314572864324
16.612283640424344,1.913356783919598,25.288844221105528
16.989168062534898,1.914894472361809,26.01039045226131
17.36605248464545,1.91921608040201,26.733187437185933
17.742936906756,1.9249698492462313,27.457797989949746
18.119821328866557,1.9282613065326635,28.183902010050254
18.496705750977107,1.932,28.911568844221105
18.873590173087663,1.9362914572864323,29.640655276381914
19.250474595198213,1.940180904522613,30.371316582914574
19.627359017308766,1.946,31.104251758793968
20.00424343941932,1.9511959798994976,31.83912763819096
20.381127861529873,1.9581005025125628,32.57609949748744
20.758012283640426,1.963678391959799,33.31560150753769
21.13489670575098,1.973,34.05826231155779
21.511781127861532,1.978673366834171,34.80335929648242
21.888665549972085,1.9867688442211058,35.55125577889448
22.265549972082635,1.9966331658291459,36.30238994974874
22.642434394193188,2.006959798994975,37.05756582914572
23.01931881630374,2.017994974874372,37.81677135678392
23.396203238414294,2.0290351758793967,38.5800703517588
23.773087660524848,2.04643216080402,39.34901859296483
24.1499720826354,2.068276381909548,40.12515879396985
24.526856504745954,2.0922412060301507,40.90967085427136
24.903740926856507,2.1229648241206034,41.70500502512564
25.28062534896706,2.1684271356783924,42.51490201005026
25.65750977107761,2.2330050251256277,43.34773618090452
