Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
8,1.371,1.371
8.01,1.371,1.38471
8.01,1.371,1.38471
8.02,1.372,1.39843
8.03,1.372,1.41215
8.04,1.372,1.42587
8.05,1.373,1.4396
8.05,1.373,1.4396
8.06,1.373,1.45333
8.07,1.373,1.46706
8.08,1.373,1.48079
8.09,1.373,1.49452
8.1,1.373,1.50825
8.1,1.374,1.50825
8.11,1.374,1.52199
8.12,1.374,1.53573
8.13,1.374,1.54947
8.14,1.374,1.56321
8.15,1.374,1.57695
8.15,1.374,1.57695
8.16,1.374,1.59069
8.17,1.374,1.60443
8.18,1.374,1.61817
8.19,1.374,1.63191
8.2,1.375,1.64566
8.2,1.375,1.64566
8.21,1.375,1.65941
8.22,1.375,1.67316
8.23,1.375,1.68691
8.24,1.375,1.70066
8.25,1.376,1.71442
8.25,1.376,1.71442
8.26,1.376,1.72818
8.27,1.377,1.74195
8.28,1.377,1.75572
8.29,1.377,1.76949
8.3,1.378,1.78327
8.3,1.378,1.78327
8.31,1.378,1.79705
8.32,1.378,1.81083
8.33,1.378,1.82461
8.34,1.378,1.83839
8.35,1.378,1.85217
8.35,1.378,1.85217
8.36,1.378,1.86595
8.37,1.378,1.87973
8.38,1.378,1.89351
8.39,1.378,1.90729
8.4,1.379,1.92108
8.4,1.379,1.92108
8.41,1.379,1.93487
8.42,1.379,1.94866
8.43,1.379,1.96245
8.44,1.379,1.97624
8.44,1.38,1.97624
8.45,1.38,1.99004
8.46,1.38,2.00384
8.47,1.38,2.01764
8.48,1.38,2.03144
8.49,1.381,2.04525
8.5,1.381,2.05906
8.5,1.381,2.05906
8.51,1.381,2.07287
8.52,1.381,2.08668
8.53,1.381,2.10049
8.54,1.381,2.1143
8.54,1.381,2.1143
8.55,1.381,2.12811
8.56,1.381,2.14192
8.57,1.381,2.15573
8.58,1.382,2.16955
8.59,1.382,2.18337
8.59,1.382,2.18337
8.6,1.382,2.19719
8.61,1.382,2.21101
8.62,1.382,2.22483
8.63,1.382,2.23865
8.64,1.382,2.25247
8.64,1.383,2.25247
8.65,1.383,2.2663
8.66,1.383,2.28013
8.67,1.383,2.29396
8.68,1.384,2.3078
8.69,1.384,2.32164
8.69,1.384,2.32164
8.7,1.384,2.33548
8.71,1.384,2.34932
8.72,1.385,2.36317
8.73,1.385,2.37702
