Temp (K) ,cp (J/g-K),Enthalpy (J/g)
273.25,0.361721,0.361721
273.35,0.36475375,0.398196375
273.45,0.53167925,0.4513643
273.55,0.724683765,0.523832677
273.65,0.8503325,0.608865927
273.75,0.9506765,0.703933577
273.85,1.028645462,0.806798123
273.95,1.0778196,0.914580083
274.05,1.118638,1.026443883
274.15,1.1516864,1.141612523
274.25,1.177666455,1.259379169
274.35,1.1936962,1.378748789
274.45,1.205850364,1.499333825
274.55,1.2156335,1.620897175
274.65,1.22670575,1.74356775
274.75,1.2297305,1.8665408
274.85,1.233751727,1.989915973
274.95,1.2360575,2.113521723
275.05,1.236718455,2.237193568
275.15,1.238666,2.361060168
275.25,1.237778,2.484837968
275.35,1.238375692,2.608675537
275.45,1.238296,2.732505137
275.55,1.237419385,2.856247076
275.65,1.238060545,2.98005313
275.75,1.2380555,3.10385868
275.85,1.236718455,3.227530526
275.95,1.236642385,3.351194764
276.05,1.236012091,3.474795974
276.15,1.2350585,3.598301824
276.25,1.233963636,3.721698187
276.35,1.232339,3.844932087
276.45,1.231703273,3.968102414
276.55,1.230187308,4.091121145
276.65,1.2278065,4.213901795
276.75,1.225704615,4.336472257
276.85,1.224851545,4.458957411
276.95,1.221819615,4.581139373
277.05,1.219977636,4.703137136
277.15,1.21802,4.824939136
277.25,1.215668819,4.946506018
277.35,1.213870308,5.067893049
277.45,1.211148091,5.189007858
277.55,1.209746231,5.309982481
277.65,1.207192455,5.430701727
277.75,1.2045335,5.551155077
277.85,1.2018806,5.671343137
277.95,1.2000935,5.791352487
278.05,1.197020819,5.911054569
278.15,1.194564846,6.030511053
278.25,1.193135819,6.149824635
278.35,1.190679846,6.26889262
278.45,1.188120636,6.387704683
278.55,1.185778769,6.50628256
278.65,1.184588819,6.624741442
278.75,1.1827775,6.743019192
278.85,1.1805908,6.861078272
278.95,1.178486923,6.978926964
279.05,1.17723675,7.096650639
279.15,1.174721462,7.214122785
279.25,1.171803636,7.331303149
279.35,1.170537615,7.448356911
279.45,1.168483727,7.565205283
279.55,1.166891692,7.681894453
279.65,1.164528091,7.798347262
279.75,1.163006692,7.914647931
279.85,1.161066909,8.030754622
279.95,1.159121692,8.146666791
280.05,1.158100181,8.262476809
280.15,1.156312538,8.378108063
280.25,1.154992181,8.493607281
280.35,1.153324077,8.608939689
280.45,1.152166727,8.724156362
280.55,1.150754,8.839231762
280.65,1.149906364,8.954222398
280.75,1.148243692,9.069046767
280.85,1.147434091,9.183790176
280.95,1.145981,9.298388276
281.05,1.1446934,9.412857616
281.15,1.1434835,9.527205966
281.25,1.1422847,9.641434436
281.35,1.1409305,9.755527486
281.45,1.139240273,9.869451514
281.55,1.138501308,9.983301644
281.65,1.137474364,10.09704908
281.75,1.136648462,10.21071393
281.85,1.135567181,10.32427065
281.95,1.134437,10.43771435
282.05,1.13366,10.55108035
282.15,1.132883,10.66436865
282.25,1.132671091,10.77763575
282.35,1.131627846,10.89079854
282.45,1.131117091,11.00391025
282.55,1.129715231,11.11688177
282.65,1.129775,11.22985927
282.75,1.128998,11.34275907
282.85,1.127867819,11.45554585
282.95,1.127563538,11.56830221
283.05,1.125748727,11.68087708
283.15,1.125770462,11.79345413
283.25,1.125042364,11.90595836
283.35,1.124933692,12.01845173
283.45,1.124336,12.13088533
283.55,1.124336,12.24331893
283.65,1.123912181,12.35571015
283.75,1.122961308,12.46800628
283.85,1.122782,12.58028448
283.95,1.122124538,12.69249693
284.05,1.122782,12.80477513
284.15,1.122303846,12.91700552
284.25,1.121934364,13.02919895
284.35,1.121228,13.14132175
284.45,1.120733545,13.25339511
284.55,1.119733769,13.36536849
284.65,1.119815273,13.47735001
284.75,1.119434923,13.58929351
284.85,1.118897,13.70118321
284.95,1.118478615,13.81303107
285.05,1.118755727,13.92490664
285.15,1.117880923,14.03669473
285.25,1.117343,14.14842903
285.35,1.117343,14.26016333
285.45,1.117484273,14.37191176
285.55,1.117343,14.48364606
285.65,1.117343,14.59538036
285.75,1.117343,14.70711466
285.85,1.117343,14.81884896
285.95,1.116924615,14.93054142
286.05,1.117201727,15.04226159
286.15,1.116625769,15.15392417
286.25,1.116566,15.26558077
286.35,1.116745308,15.3772553
286.45,1.116566,15.4889119
286.55,1.116344,15.6005463
286.65,1.1159444,15.71214074
286.75,1.115789,15.82371964
286.85,1.116000909,15.93531973
286.95,1.115789,16.04689863
287.05,1.1156336,16.15846199
287.15,1.115609692,16.27002296
287.25,1.115435819,16.38156654
287.35,1.115789,16.49314544
287.45,1.115789,16.60472434
287.55,1.115234,16.71624774
287.65,1.1160221,16.82784995
287.75,1.1161775,16.9394677
287.85,1.1150897,17.05097667
287.95,1.1157335,17.16255002
288.05,1.115789,17.27412892
288.15,1.115191308,17.38564805
288.25,1.1154005,17.4971881
288.35,1.115456,17.6087337
288.45,1.1148566,17.72021936
288.55,1.1159555,17.83181491
288.65,1.115789,17.94339381
288.75,1.1159,18.05498381
288.85,1.116495364,18.16663335
288.95,1.116267154,18.27826007
289.05,1.116989819,18.38995905
289.15,1.116685538,18.5016276
289.25,1.117343,18.6133619
289.35,1.116924615,18.72505436
289.45,1.116989819,18.83675335
289.55,1.116924615,18.94844581
289.65,1.117343,19.06018011
289.75,1.116924615,19.17187257
289.85,1.1169545,19.28356802
289.95,1.1176205,19.39533007
290.05,1.117343,19.50706437
290.15,1.117343,19.61879867
290.25,1.117343,19.73053297
290.35,1.118000462,19.84233301
290.45,1.118614455,19.95419446
290.55,1.118418846,20.06603634
290.65,1.118331909,20.17786954
290.75,1.118598154,20.28972935
290.85,1.118897,20.40161905
290.95,1.118897,20.51350875
291.05,1.118685091,20.62537726
291.15,1.119315385,20.7373088
291.25,1.119038273,20.84921263
291.35,1.119315385,20.96114416
291.45,1.119744636,21.07311863
291.55,1.120032615,21.18512189
291.65,1.120380364,21.29715993
291.75,1.120869385,21.40924686
291.85,1.120451,21.52129196
291.95,1.121108462,21.63340281
292.05,1.121016091,21.74550442
292.15,1.121228,21.85762722
292.25,1.121722455,21.96979946
292.35,1.121706154,22.08197008
292.45,1.121228,22.19409288
292.55,1.121407308,22.30623361
292.65,1.122428819,22.41847649
292.75,1.122124538,22.53068895
292.85,1.123135181,22.64300246
292.95,1.123319923,22.75533446
293.05,1.124053455,22.8677398
293.15,1.124336,22.9801734
293.25,1.124336,23.092607
293.35,1.124814154,23.20508842
293.45,1.125042364,23.31759265
293.55,1.124634846,23.43005614
293.65,1.125324909,23.54258863
293.75,1.125411846,23.65512981
293.85,1.125466181,23.76767643
293.95,1.12589,23.88026543
294.05,1.12589,23.99285443
294.15,1.126607231,24.10551516
294.25,1.126949545,24.21821011
294.35,1.127444,24.33095451
294.45,1.127867819,24.44374129
294.55,1.128579615,24.55659925
294.65,1.128221,24.66942135
294.75,1.128579615,24.78227932
294.85,1.128998,24.89517912
294.95,1.129715231,25.00815064
295.05,1.129845636,25.1211352
295.15,1.129775,25.2341127
295.25,1.129775,25.3470902
295.35,1.129834769,25.46007368
295.45,1.131258364,25.57319952
295.55,1.131329,25.68633242
295.65,1.132600455,25.79959246
295.75,1.133600231,25.91295248
295.85,1.133094909,26.02626197
295.95,1.13366,26.13962797
296.05,1.13366,26.25299397
296.15,1.134437,26.36643767
296.25,1.134860819,26.47992376
296.35,1.135154231,26.59343918
296.45,1.135567181,26.7069959
296.55,1.136349615,26.82063086
296.65,1.136556091,26.93428647
296.75,1.137007077,27.04798718
296.85,1.137121181,27.16169929
296.95,1.137126615,27.27541196
297.05,1.137545,27.38916646
297.15,1.137784077,27.50294486
297.25,1.138322,27.61677706
297.35,1.138919692,27.73066903
297.45,1.139240273,27.84459306
297.55,1.139995538,27.95859261
297.65,1.140370455,28.07262966
297.75,1.140892077,28.18671887
297.85,1.141783181,28.30089718
297.95,1.142207,28.41511788
298.05,1.142984,28.52941628
298.15,1.142984,28.64371468
298.25,1.143619727,28.75807666
298.35,1.144000077,28.87247667
298.45,1.144538,28.98693047
298.55,1.144717308,29.1014022
298.65,1.145668181,29.21596901
298.75,1.146092,29.33057821
298.85,1.146869,29.44526511
298.95,1.146869,29.55995201
299.05,1.146939636,29.67464598
299.15,1.148124154,29.78945839
299.25,1.147928545,29.90425125
299.35,1.148423,30.01909355
299.45,1.148776181,30.13397117
299.55,1.149678154,30.24893898
299.65,1.150118273,30.36395081
299.75,1.150694231,30.47902023
299.85,1.150824636,30.5941027
299.95,1.151710308,30.70927373
300.05,1.152519909,30.82452572
300.15,1.153324077,30.93985812
300.25,1.154497727,31.0553079
300.35,1.155296462,31.17083754
300.45,1.155698545,31.2864074
300.55,1.156193,31.4020267
300.65,1.156193,31.517646
300.75,1.1569145,31.63333745
300.85,1.1573585,31.7490733
300.95,1.1582465,31.86489795
301.05,1.1589902,31.98079697
301.15,1.159079,32.09670487
301.25,1.1594564,32.21265051
301.35,1.160436615,32.32869417
301.45,1.161278819,32.44482205
301.55,1.1620205,32.5610241
301.65,1.1629529,32.67731939
301.75,1.163963,32.79371569
301.85,1.1641961,32.9101353
301.95,1.1650175,33.02663705
302.05,1.1664494,33.14328199
302.15,1.1663495,33.25991694
302.25,1.1675372,33.37667066
302.35,1.167626,33.49343326
302.45,1.168625,33.61029576
302.55,1.168847,33.72718046
302.65,1.1691689,33.84409735
302.75,1.170068,33.96110415
302.85,1.170956,34.07819975
302.95,1.171673231,34.19536707
303.05,1.171803636,34.31254744
303.15,1.172569769,34.42980442
303.25,1.1730539,34.54710981
303.35,1.174064,34.66451621
303.45,1.174841,34.78200031
303.55,1.1752295,34.89952326
303.65,1.176395,35.01716276
303.75,1.177505,35.13491326
303.85,1.1777159,35.25268485
303.95,1.1787815,35.370563
304.05,1.179503,35.4885133
304.15,1.180613,35.6065746
304.25,1.181834,35.724758
304.35,1.182192615,35.84297726
304.45,1.1819894,35.9611762
304.55,1.1829995,36.07947615
304.65,1.1840096,36.19787711
304.75,1.1849975,36.31637686
304.85,1.185930909,36.43496995
304.95,1.186794846,36.55364943
305.05,1.187484909,36.67239792
305.15,1.188169538,36.79121488
305.25,1.188968273,36.9101117
305.35,1.189484462,37.02906015
305.45,1.190663545,37.1481265
305.55,1.190679846,37.26719449
305.65,1.192712,37.38646569
305.75,1.192771769,37.50574287
305.85,1.194266,37.62516947
305.95,1.195102769,37.74467974
306.05,1.19582,37.86426174
306.15,1.196597,37.98392144
306.25,1.198151,38.10373654
306.35,1.198808462,38.22361739
306.45,1.200482,38.34366559
306.55,1.201737154,38.4638393
306.65,1.202106636,38.58404997
306.75,1.203410692,38.70439104
306.85,1.204367,38.82482774
306.95,1.205024462,38.94533018
307.05,1.206132909,39.06594347
307.15,1.207295692,39.18667304
307.25,1.207475,39.30742054
307.35,1.209208308,39.42834137
307.45,1.210583,39.54939967
307.55,1.211300231,39.6705297
307.65,1.212631455,39.79179284
307.75,1.213212846,39.91311413
307.85,1.214821181,40.03459625
307.95,1.215543846,40.15615063
308.05,1.217010909,40.27785172
308.15,1.218173692,40.39966909
308.25,1.219624455,40.52163154
308.35,1.220684,40.64369994
308.45,1.221107819,40.76581072
308.55,1.222955231,40.88810624
