Temp (K) ,cp (J/g-K),Enthalpy (J/g)
273.25,0.187862163,0
273.35,0.191375,0.206999663
273.45,0.384725,0.245472163
273.55,0.608282353,0.306300398
273.65,0.753821429,0.381682541
273.75,0.87005,0.468687541
273.85,0.960361539,0.564723695
273.95,1.01732,0.666455695
274.05,1.0646,0.772915695
274.15,1.10288,0.883203695
274.25,1.132972728,0.996500967
274.35,1.15154,1.111654967
274.45,1.165618182,1.228216786
274.55,1.17695,1.345911786
274.65,1.189775,1.464889286
274.75,1.193278571,1.584217143
274.85,1.197936364,1.704010779
274.95,1.200607143,1.824071493
275.05,1.201372728,1.944208766
275.15,1.203628571,2.064571623
275.25,1.2026,2.184831623
275.35,1.203292308,2.305160854
275.45,1.2032,2.425480854
275.55,1.202184616,2.545699316
275.65,1.202927272,2.665992043
275.75,1.202921429,2.786284186
275.85,1.201372728,2.906421459
275.95,1.201284616,3.02654992
276.05,1.200554546,3.146605375
276.15,1.19945,3.266550375
276.25,1.198181818,3.386368557
276.35,1.1963,3.505998557
276.45,1.195563636,3.62555492
276.55,1.193807692,3.744935689
276.65,1.19105,3.864040689
276.75,1.188615384,3.982902228
276.85,1.187627272,4.101664955
276.95,1.184115384,4.220076493
277.05,1.181981818,4.338274675
277.15,1.179714286,4.456246104
277.25,1.17699091,4.573945195
277.35,1.174907692,4.691435964
277.45,1.171754546,4.808611419
277.55,1.170130769,4.925624496
277.65,1.167172728,5.042341768
277.75,1.164092857,5.158751054
277.85,1.16102,5.274853054
277.95,1.15895,5.390748054
278.05,1.15539091,5.506287145
278.15,1.152546154,5.62154176
278.25,1.15089091,5.736630851
278.35,1.148046154,5.851435467
278.45,1.145081818,5.965943648
278.55,1.142369231,6.080180572
278.65,1.14099091,6.194279662
278.75,1.138892857,6.308168948
278.85,1.13636,6.421804948
278.95,1.133923077,6.535197256
279.05,1.132475,6.648444756
279.15,1.129561539,6.76140091
279.25,1.126181818,6.874019092
279.35,1.124715384,6.98649063
279.45,1.122336364,7.098724266
279.55,1.120492308,7.210773497
279.65,1.117754546,7.322548952
279.75,1.115992308,7.434148183
279.85,1.113745454,7.545522728
279.95,1.111492308,7.656671959
280.05,1.110309091,7.767702868
280.15,1.108238461,7.878526714
280.25,1.106709091,7.989197623
280.35,1.104776923,8.099675315
280.45,1.103436364,8.210018952
280.55,1.1018,8.320198952
280.65,1.100818182,8.43028077
280.75,1.098892308,8.540170001
280.85,1.097954546,8.649965455
280.95,1.096271429,8.759592598
281.05,1.09478,8.869070598
281.15,1.093378571,8.978408455
281.25,1.09199,9.087607455
281.35,1.090421429,9.196649598
281.45,1.088463636,9.305495962
281.55,1.087607692,9.414256731
281.65,1.086418182,9.522898549
281.75,1.085461539,9.631444703
281.85,1.084209091,9.739865612
281.95,1.0829,9.848155612
282.05,1.082,9.956355612
282.15,1.0811,10.06446561
282.25,1.080854546,10.17255107
282.35,1.079646154,10.28051568
282.45,1.079054546,10.38842114
282.55,1.077430769,10.49616421
282.65,1.0775,10.60391421
282.75,1.0766,10.71157421
282.85,1.07529091,10.8191033
282.95,1.074938461,10.92659715
283.05,1.072836364,11.03388079
283.15,1.072861539,11.14116694
283.25,1.072018182,11.24836876
283.35,1.071892308,11.35555799
283.45,1.0712,11.46267799
283.55,1.0712,11.56979799
283.65,1.070709091,11.6768689
283.75,1.069607692,11.78382967
283.85,1.0694,11.89076967
283.95,1.068638461,11.99763351
284.05,1.0694,12.10457351
284.15,1.068846154,12.21145813
284.25,1.068418182,12.31829995
284.35,1.0676,12.42505995
284.45,1.067027272,12.53176267
284.55,1.065869231,12.6383496
284.65,1.065963636,12.74494596
284.75,1.065523077,12.85149827
284.85,1.0649,12.95798827
284.95,1.064415384,13.06442981
285.05,1.064736364,13.17090344
285.15,1.063723077,13.27727575
285.25,1.0631,13.38358575
285.35,1.0631,13.48989575
285.45,1.063263636,13.59622212
285.55,1.0631,13.70253212
285.65,1.0631,13.80884212
285.75,1.0631,13.91515212
285.85,1.0631,14.02146212
285.95,1.062615384,14.12772365
286.05,1.062936364,14.23401729
286.15,1.062269231,14.34024421
286.25,1.0622,14.44646421
286.35,1.062407692,14.55270498
286.45,1.0622,14.65892498
286.55,1.061942857,14.76511927
286.65,1.06148,14.87126727
286.75,1.0613,14.97739727
286.85,1.061545454,15.08355181
286.95,1.0613,15.18968181
287.05,1.06112,15.29579381
287.15,1.061092308,15.40190304
287.25,1.06089091,15.50799214
287.35,1.0613,15.61412214
287.45,1.0613,15.72025214
287.55,1.060657143,15.82631785
287.65,1.06157,15.93247485
287.75,1.06175,16.03864985
287.85,1.06049,16.14469885
287.95,1.061235714,16.25082242
288.05,1.0613,16.35695242
288.15,1.060607692,16.46301319
288.25,1.06085,16.56909819
288.35,1.060914286,16.67518962
288.45,1.06022,16.78121162
288.55,1.061492857,16.8873609
288.65,1.0613,16.9934909
288.75,1.061428571,17.09963376
288.85,1.062118182,17.20584558
288.95,1.061853847,17.31203096
289.05,1.06269091,17.41830006
289.15,1.062338461,17.5245339
289.25,1.0631,17.6308439
289.35,1.062615384,17.73710544
289.45,1.06269091,17.84337453
289.55,1.062615384,17.94963607
289.65,1.0631,18.05594607
289.75,1.062615384,18.16220761
289.85,1.06265,18.26847261
289.95,1.063421429,18.37481475
290.05,1.0631,18.48112475
290.15,1.0631,18.58743475
290.25,1.0631,18.69374475
290.35,1.063861539,18.8001309
290.45,1.064572728,18.90658818
290.55,1.064346154,19.01302279
290.65,1.064245454,19.11944734
290.75,1.064553847,19.22590272
290.85,1.0649,19.33239272
290.95,1.0649,19.43888272
291.05,1.064654546,19.54534818
291.15,1.065384616,19.65188664
291.25,1.065063636,19.758393
291.35,1.065384616,19.86493146
291.45,1.065881818,19.97151965
291.55,1.066215384,20.07814118
291.65,1.066618182,20.184803
291.75,1.067184616,20.29152146
291.85,1.0667,20.39819146
291.95,1.067461539,20.50493762
292.05,1.067354546,20.61167307
292.15,1.0676,20.71843307
292.25,1.068172728,20.82525035
292.35,1.068153847,20.93206573
292.45,1.0676,21.03882573
292.55,1.067807692,21.1456065
292.65,1.06899091,21.25250559
292.75,1.068638461,21.35936944
292.85,1.069809091,21.46635035
292.95,1.070023077,21.57335265
293.05,1.070872728,21.68043993
293.15,1.0712,21.78755993
293.25,1.0712,21.89467993
293.35,1.071753847,22.00185531
293.45,1.072018182,22.10905713
293.55,1.071546154,22.21621174
293.65,1.072345454,22.32344629
293.75,1.072446154,22.4306909
293.85,1.072509091,22.53794181
293.95,1.073,22.64524181
294.05,1.073,22.75254181
294.15,1.073830769,22.85992489
294.25,1.074227272,22.96734762
294.35,1.0748,23.07482762
294.45,1.07529091,23.18235671
294.55,1.076115384,23.28996825
294.65,1.0757,23.39753825
294.75,1.076115384,23.50514979
294.85,1.0766,23.61280979
294.95,1.077430769,23.72055286
295.05,1.077581818,23.82831104
295.15,1.0775,23.93606104
295.25,1.0775,24.04381104
295.35,1.077569231,24.15156797
295.45,1.079218182,24.25948979
295.55,1.0793,24.36741979
295.65,1.080772728,24.47549706
295.75,1.081930769,24.58369014
295.85,1.081345454,24.69182468
295.95,1.082,24.80002468
296.05,1.082,24.90822468
296.15,1.0829,25.01651468
296.25,1.08339091,25.12485377
296.35,1.083730769,25.23322685
296.45,1.084209091,25.34164776
296.55,1.085115384,25.4501593
296.65,1.085354546,25.55869475
296.75,1.085876923,25.66728244
296.85,1.086009091,25.77588335
296.95,1.086015384,25.88448489
297.05,1.0865,25.99313489
297.15,1.086776923,26.10181258
297.25,1.0874,26.21055258
297.35,1.088092308,26.31936181
297.45,1.088463636,26.42820818
297.55,1.089338461,26.53714202
297.65,1.089772728,26.6461193
297.75,1.090376923,26.75515699
297.85,1.091409091,26.8642979
297.95,1.0919,26.9734879
298.05,1.0928,27.0827679
298.15,1.0928,27.1920479
298.25,1.093536364,27.30140153
298.35,1.093976923,27.41079923
298.45,1.0946,27.52025923
298.55,1.094807692,27.62974
298.65,1.095909091,27.7393309
298.75,1.0964,27.8489709
298.85,1.0973,27.9587009
298.95,1.0973,28.0684309
299.05,1.097381818,28.17816909
299.15,1.098753847,28.28804447
299.25,1.098527272,28.3978972
299.35,1.0991,28.5078072
299.45,1.099509091,28.61775811
299.55,1.100553847,28.72781349
299.65,1.101063636,28.83791986
299.75,1.101730769,28.94809293
299.85,1.101881818,29.05828111
299.95,1.102907692,29.16857188
300.05,1.103845454,29.27895643
300.15,1.104776923,29.38943412
300.25,1.106136364,29.50004776
300.35,1.107061539,29.61075391
300.45,1.107527272,29.72150664
300.55,1.1081,29.83231664
300.65,1.1081,29.94312664
300.75,1.108935714,30.05402021
300.85,1.10945,30.16496521
300.95,1.110478571,30.27601307
301.05,1.11134,30.38714707
301.15,1.111442857,30.49829135
301.25,1.11188,30.60947935
301.35,1.113015384,30.72078089
301.45,1.11399091,30.83217998
301.55,1.11485,30.94366498
301.65,1.11593,31.05525798
301.75,1.1171,31.16696798
301.85,1.11737,31.27870498
301.95,1.118321429,31.39053713
302.05,1.11998,31.50253513
302.15,1.119864286,31.61452155
302.25,1.12124,31.72664555
302.35,1.121342857,31.83877984
302.45,1.1225,31.95102984
302.55,1.122757143,32.06330555
302.65,1.12313,32.17561855
302.75,1.124171429,32.2880357
302.85,1.1252,32.4005557
302.95,1.126030769,32.51315877
303.05,1.126181818,32.62577696
303.15,1.127069231,32.73848388
303.25,1.12763,32.85124688
303.35,1.1288,32.96412688
303.45,1.1297,33.07709688
303.55,1.13015,33.19011188
303.65,1.1315,33.30326188
303.75,1.132785714,33.41654045
303.85,1.13303,33.52984345
303.95,1.134264286,33.64326988
304.05,1.1351,33.75677988
304.15,1.136385714,33.87041845
304.25,1.1378,33.98419845
304.35,1.138215384,34.09801999
304.45,1.13798,34.21181799
304.55,1.13915,34.32573299
304.65,1.14032,34.43976499
304.75,1.141464286,34.55391142
304.85,1.142545454,34.66816596
304.95,1.143546154,34.78252058
305.05,1.144345454,34.89695512
305.15,1.145138461,35.01146897
305.25,1.146063636,35.12607533
305.35,1.146661539,35.24074149
305.45,1.148027272,35.35554421
305.55,1.148046154,35.47034883
305.65,1.1504,35.58538883
305.75,1.150469231,35.70043575
305.85,1.1522,35.81565575
305.95,1.153169231,35.93097268
306.05,1.154,36.04637268
306.15,1.1549,36.16186268
306.25,1.1567,36.27753268
306.35,1.157461539,36.39327883
306.45,1.1594,36.50921883
306.55,1.160853847,36.62530421
306.65,1.161281818,36.7414324
306.75,1.162792308,36.85771163
306.85,1.1639,36.97410163
306.95,1.164661539,37.09056778
307.05,1.165945454,37.20716233
307.15,1.167292308,37.32389156
307.25,1.1675,37.44064156
307.35,1.169507692,37.55759233
307.45,1.1711,37.67470233
307.55,1.171930769,37.7918954
307.65,1.173472728,37.90924268
307.75,1.174146154,38.02665729
307.85,1.176009091,38.1442582
307.95,1.176846154,38.26194282
308.05,1.178545454,38.37979736
308.15,1.179892308,38.49778659
308.25,1.181572728,38.61594386
308.35,1.1828,38.73422386
308.45,1.18329091,38.85255296
308.55,1.185430769,38.97109603
308.65,1.1864,39.08973603
308.75,1.188476923,39.20858372
308.85,1.19,39.32758372
308.95,1.191246154,39.44670834
309.05,1.192372728,39.56594561
309.15,1.194153847,39.685361
309.25,1.195481818,39.80490918
309.35,1.197753847,39.92468456
309.45,1.199081818,40.04459275
309.55,1.201146154,40.16470736
309.65,1.202518182,40.28495918
309.75,1.2044,40.40539918
309.85,1.207018182,40.526101
309.95,1.208138461,40.64691484
310.05,1.210454546,40.7679603
310.15,1.212638461,40.88922414
310.25,1.214054546,41.0106296
310.35,1.215753847,41.13220498
310.45,1.218063636,41.25401135
310.55,1.220253847,41.37603673
310.65,1.222236364,41.49826037
310.75,1.225238461,41.62078421
310.85,1.227227272,41.74350694
310.95,1.230292308,41.86653617
311.05,1.233609091,41.98989708
311.15,1.236453847,42.11354247
311.25,1.239909091,42.23753337
