T (K),57.3vol% Weighted heat capacity (J/g-K),57.3vol% enthalpy (J/g)
273.25,0.722615541,0.722615541
273.35,0.724649083,0.795080449
273.45,0.83657725,0.878738174
273.55,0.965992118,0.975337386
273.65,1.050243071,1.080361693
273.75,1.1175265,1.192114343
273.85,1.169806846,1.309095027
273.95,1.202779467,1.429372974
274.05,1.230149333,1.552387907
274.15,1.2523092,1.677618827
274.25,1.269729545,1.804591782
274.35,1.280477933,1.932639575
274.45,1.288627636,2.061502339
274.55,1.2951875,2.191021089
274.65,1.30261175,2.321282264
274.75,1.304639929,2.451746257
274.85,1.307336273,2.582479884
274.95,1.308882357,2.71336812
275.05,1.309325545,2.844300674
275.15,1.310631429,2.975363817
275.25,1.310036,3.106367417
275.35,1.310436769,3.237411094
275.45,1.310383333,3.368449427
275.55,1.309795538,3.499428981
275.65,1.310225455,3.630451527
275.75,1.310222071,3.761473734
275.85,1.309325545,3.892406288
275.95,1.309274538,4.023333742
276.05,1.308851909,4.154218933
276.15,1.3082125,4.285040183
276.25,1.307478364,4.41578802
276.35,1.306389,4.54642692
276.45,1.305962727,4.677023192
276.55,1.304946231,4.807517815
276.65,1.303349833,4.937852799
276.75,1.301940462,5.068046845
276.85,1.301368455,5.19818369
276.95,1.299335462,5.328117236
277.05,1.298100364,5.457927273
277.15,1.296787714,5.587606044
277.25,1.295211182,5.717127162
277.35,1.294005231,5.846527685
277.45,1.292179909,5.975745676
277.55,1.291239923,6.104869669
277.65,1.289527545,6.233822423
277.75,1.287744643,6.362596888
277.85,1.2859658,6.491193468
277.95,1.2847675,6.619670218
278.05,1.282707182,6.747940936
278.15,1.281060385,6.876046974
278.25,1.280102182,7.004057192
278.35,1.278455385,7.131902731
278.45,1.276739364,7.259576667
278.55,1.275169077,7.387093575
278.65,1.274371182,7.514530693
278.75,1.273156643,7.641846357
278.85,1.2716904,7.769015397
278.95,1.270279692,7.896043367
279.05,1.269441417,8.022987508
279.15,1.267754846,8.149762993
279.25,1.265798364,8.276342829
279.35,1.264949462,8.402837775
279.45,1.263572273,8.529195003
279.55,1.262504769,8.65544548
279.65,1.260919909,8.78153747
279.75,1.259899769,8.907527447
279.85,1.258599091,9.033387356
279.95,1.257294769,9.159116833
280.05,1.256609818,9.284777815
280.15,1.255411154,9.410318931
280.25,1.254525818,9.535771512
280.35,1.253407308,9.661112243
280.45,1.252631273,9.78637537
280.55,1.251684,9.91154377
280.65,1.251115636,10.03665533
280.75,1.250000769,10.16165541
280.85,1.249457909,10.2866012
280.95,1.248483571,10.41144956
281.05,1.2476202,10.53621158
281.15,1.246808929,10.66089247
281.25,1.2460051,10.78549298
281.35,1.245097071,10.91000269
281.45,1.243963727,11.03439906
281.55,1.243468231,11.15874588
281.65,1.242779636,11.28302385
281.75,1.242225846,11.40724643
281.85,1.241500818,11.53139651
281.95,1.240743,11.65547081
282.05,1.240222,11.77949301
282.15,1.239701,11.90346311
282.25,1.239558909,12.02741901
282.35,1.238859385,12.15130494
282.45,1.238516909,12.27515664
282.55,1.237576923,12.39891433
282.65,1.237617,12.52267603
282.75,1.237096,12.64638563
282.85,1.236338182,12.77001945
282.95,1.236134154,12.89363286
283.05,1.234917273,13.01712459
283.15,1.234931846,13.14061777
283.25,1.234443636,13.26406214
283.35,1.234370769,13.38749921
283.45,1.23397,13.51089621
283.55,1.23397,13.63429321
283.65,1.233685818,13.7576618
