Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
15.03,1.404,4.1881
15.03,1.404,4.1881
15.04,1.404,4.20214
15.05,1.404,4.21618
15.06,1.404,4.23022
15.07,1.404,4.24426
15.08,1.404,4.2583
15.08,1.404,4.2583
15.09,1.404,4.27234
15.1,1.405,4.28639
15.11,1.405,4.30044
15.12,1.405,4.31449
15.12,1.405,4.31449
15.13,1.405,4.32854
15.14,1.406,4.3426
15.15,1.406,4.35666
15.16,1.406,4.37072
15.17,1.406,4.38478
15.18,1.406,4.39884
15.18,1.406,4.39884
15.19,1.406,4.4129
15.2,1.406,4.42696
15.21,1.406,4.44102
15.22,1.406,4.45508
15.23,1.406,4.46914
15.23,1.406,4.46914
15.24,1.406,4.4832
15.25,1.406,4.49726
15.26,1.407,4.51133
15.27,1.407,4.5254
15.28,1.407,4.53947
15.28,1.407,4.53947
15.29,1.407,4.55354
15.3,1.407,4.56761
15.31,1.408,4.58169
15.32,1.408,4.59577
15.33,1.408,4.60985
15.33,1.408,4.60985
15.34,1.407,4.62392
15.35,1.407,4.63799
15.36,1.407,4.65206
15.37,1.407,4.66613
15.38,1.407,4.6802
15.38,1.407,4.6802
15.39,1.408,4.69428
15.4,1.408,4.70836
15.41,1.408,4.72244
15.42,1.408,4.73652
15.43,1.408,4.7506
15.43,1.408,4.7506
15.44,1.408,4.76468
15.45,1.408,4.77876
15.46,1.408,4.79284
15.47,1.408,4.80692
15.47,1.408,4.80692
15.48,1.408,4.821
15.49,1.408,4.83508
15.5,1.408,4.84916
15.51,1.408,4.86324
15.52,1.408,4.87732
15.52,1.409,4.87732
15.53,1.409,4.89141
15.54,1.409,4.9055
15.55,1.409,4.91959
15.56,1.409,4.93368
15.57,1.409,4.94777
15.57,1.409,4.94777
15.58,1.409,4.96186
15.59,1.409,4.97595
15.6,1.409,4.99004
15.61,1.409,5.00413
15.62,1.409,5.01822
15.63,1.409,5.03231
15.63,1.409,5.03231
15.64,1.409,5.0464
15.65,1.409,5.06049
15.66,1.409,5.07458
15.67,1.409,5.08867
