Temp (K) ,cp (J/g-K),Enthalpy (J/g)
290.75,1.092235077,19.77078953
290.85,1.092557,19.88004523
290.95,1.092557,19.98930093
291.05,1.092328728,20.09853381
291.15,1.093007693,20.20783457
291.25,1.092709182,20.31710549
291.35,1.093007693,20.42640626
291.45,1.093470091,20.53575327
291.55,1.093780307,20.6451313
291.65,1.094154909,20.75454679
291.75,1.094681693,20.86401496
291.85,1.094231,20.97343806
291.95,1.094939231,21.08293198
292.05,1.094839728,21.19241596
292.15,1.095068,21.30192276
292.25,1.095600637,21.41148282
292.35,1.095583077,21.52104113
292.45,1.095068,21.63054793
292.55,1.095261154,21.74007404
292.65,1.096361546,21.8497102
292.75,1.096033769,21.95931358
292.85,1.097122454,22.06902582
292.95,1.097321462,22.17875797
293.05,1.098111637,22.28856913
293.15,1.098416,22.39841073
293.25,1.098416,22.50825233
293.35,1.098931077,22.61814544
293.45,1.099176909,22.72806313
293.55,1.098737923,22.83793692
293.65,1.099481272,22.94788505
293.75,1.099574923,23.05784254
293.85,1.099633454,23.16780589
293.95,1.10009,23.27781489
294.05,1.10009,23.38782389
294.15,1.100862615,23.49791015
294.25,1.101231363,23.60803328
294.35,1.101764,23.71820968
294.45,1.102220546,23.82843174
294.55,1.102987307,23.93873047
294.65,1.102601,24.04899057
294.75,1.102987307,24.1592893
294.85,1.103438,24.2696331
294.95,1.104210615,24.38005416
295.05,1.104351091,24.49048927
295.15,1.104275,24.60091677
295.25,1.104275,24.71134427
295.35,1.104339385,24.82177821
295.45,1.105872909,24.9323655
295.55,1.105949,25.0429604
295.65,1.107318637,25.15369226
295.75,1.108395615,25.26453183
295.85,1.107851272,25.37531695
295.95,1.10846,25.48616295
296.05,1.10846,25.59700895
296.15,1.109297,25.70793865
296.25,1.109753546,25.81891401
296.35,1.110069615,25.92992097
296.45,1.110514454,26.04097241
296.55,1.111357307,26.15210815
296.65,1.111579728,26.26326612
296.75,1.112065538,26.37447267
296.85,1.112188454,26.48569152
296.95,1.112194307,26.59691095
297.05,1.112645,26.70817545
297.15,1.112902538,26.8194657
297.25,1.113482,26.9308139
297.35,1.114125846,27.04222649
297.45,1.114471182,27.1536736
297.55,1.115284769,27.26520208
297.65,1.115688637,27.37677095
297.75,1.116250538,27.488396
297.85,1.117210454,27.60011704
297.95,1.117667,27.71188374
298.05,1.118504,27.82373414
298.15,1.118504,27.93558454
298.25,1.119188818,28.04750343
298.35,1.119598538,28.15946328
298.45,1.120178,28.27148108
298.55,1.120371154,28.3835182
298.65,1.121395454,28.49565774
298.75,1.121852,28.60784294
298.85,1.122689,28.72011184
298.95,1.122689,28.83238074
299.05,1.122765091,28.94465725
299.15,1.124041077,29.05706136
299.25,1.123830363,29.16944439
299.35,1.124363,29.28188069
299.45,1.124743454,29.39435504
299.55,1.125715077,29.50692655
299.65,1.126189182,29.61954547
299.75,1.126809615,29.73222643
299.85,1.126950091,29.84492144
299.95,1.127904154,29.95771185
300.05,1.128776272,30.07058948
300.15,1.129642538,30.18355373
300.25,1.130906818,30.29664441
300.35,1.131767231,30.40982114
300.45,1.132200363,30.52304117
300.55,1.132733,30.63631447
300.65,1.132733,30.74958777
300.75,1.133510214,30.8629388
300.85,1.1339885,30.97633765
300.95,1.134945071,31.08983215
301.05,1.1357462,31.20340677
301.15,1.135841857,31.31699096
301.25,1.1362484,31.4306158
301.35,1.137304307,31.54434623
301.45,1.138211546,31.65816738
301.55,1.1390105,31.77206843
301.65,1.1400149,31.88606992
301.75,1.141103,32.00018022
301.85,1.1413541,32.11431563
301.95,1.142238929,32.22853953
302.05,1.1437814,32.34291767
302.15,1.143673786,32.45728504
302.25,1.1449532,32.57178036
302.35,1.145048857,32.68628525
302.45,1.146125,32.80089775
302.55,1.146364143,32.91553416
302.65,1.1467109,33.03020525
302.75,1.147679429,33.1449732
302.85,1.148636,33.2598368
302.95,1.149408615,33.37477766
303.05,1.149549091,33.48973257
303.15,1.150374385,33.60477001
303.25,1.1508959,33.7198596
303.35,1.151984,33.835058
303.45,1.152821,33.9503401
303.55,1.1532395,34.06566405
303.65,1.154495,34.18111355
303.75,1.155690714,34.29668262
303.85,1.1559179,34.41227441
303.95,1.157065786,34.52798099
304.05,1.157843,34.64376529
304.15,1.159038714,34.75966916
304.25,1.160354,34.87570456
304.35,1.160740307,34.99177859
304.45,1.1605214,35.10783073
304.55,1.1616095,35.22399168
304.65,1.1626976,35.34026144
304.75,1.163761786,35.45663762
304.85,1.164767272,35.57311434
304.95,1.165697923,35.68968414
305.05,1.166441272,35.80632826
305.15,1.167178769,35.92304614
305.25,1.168039182,36.03985006
305.35,1.168595231,36.15670958
305.45,1.169865363,36.27369612
305.55,1.169882923,36.39068441
305.65,1.172072,36.50789161
