Temp (K) ,cp (J/g-C),Enthalpy (J/g)
290.85,1.084655,19.72357309
290.95,1.084655,19.83203859
291.05,1.084421818,19.94048077
291.15,1.085115385,20.04899231
291.25,1.084810454,20.15747335
291.35,1.085115385,20.26598489
291.45,1.085587727,20.37454366
291.55,1.085904615,20.48313413
291.65,1.086287273,20.59176285
291.75,1.086825385,20.70044539
291.85,1.086365,20.80908189
291.95,1.087088462,20.91779074
292.05,1.086986818,21.02648942
292.15,1.08722,21.13521142
292.25,1.087764091,21.24398783
292.35,1.087746154,21.35276244
292.45,1.08722,21.46148444
292.55,1.087417307,21.57022617
292.65,1.088541364,21.67908031
292.75,1.088206538,21.78790096
292.85,1.089318636,21.89683283
292.95,1.089521923,22.00578502
293.05,1.090329091,22.11481793
293.15,1.09064,22.22388193
293.25,1.09064,22.33294593
293.35,1.091166154,22.44206255
293.45,1.091417273,22.55120427
293.55,1.090968846,22.66030116
293.65,1.091728182,22.76947398
293.75,1.091823846,22.87865636
293.85,1.091883636,22.98784472
293.95,1.09235,23.09707972
294.05,1.09235,23.20631472
294.15,1.093139231,23.31562865
294.25,1.093515909,23.42498024
294.35,1.09406,23.53438624
294.45,1.094526364,23.64383887
294.55,1.095309615,23.75336984
294.65,1.094915,23.86286134
294.75,1.095309615,23.9723923
294.85,1.09577,24.0819693
294.95,1.096559231,24.19162522
295.05,1.096702727,24.30129549
295.15,1.096625,24.41095799
295.25,1.096625,24.52062049
295.35,1.096690769,24.63028957
295.45,1.098257273,24.7401153
295.55,1.098335,24.8499488
295.65,1.099734091,24.95992221
295.75,1.100834231,25.07000563
295.85,1.100278182,25.18003345
295.95,1.1009,25.29012345
296.05,1.1009,25.40021345
296.15,1.101755,25.51038895
296.25,1.102221364,25.62061108
296.35,1.102544231,25.73086551
296.45,1.102998636,25.84116537
296.55,1.103859615,25.95155133
296.65,1.104086818,26.06196001
296.75,1.104583077,26.17241832
296.85,1.104708636,26.28288918
296.95,1.104714615,26.39336065
297.05,1.105175,26.50387815
297.15,1.105438077,26.61442195
297.25,1.10603,26.72502495
297.35,1.106687693,26.83569372
297.45,1.107040454,26.94639777
297.55,1.107871538,27.05718492
297.65,1.108284091,27.16801333
297.75,1.108858077,27.27889914
297.85,1.109838636,27.389883
297.95,1.110305,27.5009135
298.05,1.11116,27.6120295
298.15,1.11116,27.7231455
298.25,1.111859546,27.83433146
298.35,1.112278077,27.94555926
298.45,1.11287,28.05684626
298.55,1.113067307,28.168153
298.65,1.114113636,28.27956436
298.75,1.11458,28.39102236
298.85,1.115435,28.50256586
298.95,1.115435,28.61410936
