Temp (K) ,cp (J/g-C),Enthalpy (J/g)
361.55,1.236779231,286.9489995
361.65,1.236611818,287.0726606
361.75,1.236779231,287.1963386
361.85,1.236378636,287.3199764
361.95,1.23599,287.4435754
362.05,1.236067727,287.5671822
362.15,1.235726923,287.6907549
362.25,1.236300909,287.814385
362.35,1.23599,287.937984
362.45,1.23599,288.061583
362.55,1.235398077,288.1851228
362.65,1.23599,288.3087218
362.75,1.236713462,288.4323931
362.85,1.236067727,288.5559999
362.95,1.236845,288.6796844
363.05,1.236145454,288.8032989
363.15,1.236187307,288.9269177
363.25,1.236378636,289.0505555
363.35,1.235858462,289.1741414
363.45,1.235601364,289.2977015
363.55,1.235726923,289.4212742
363.65,1.235135,289.5447877
363.75,1.234477307,289.6682354
363.85,1.23428,289.7916634
363.95,1.233425,289.9150059
364.05,1.234202273,290.0384262
364.15,1.233490769,290.1617753
364.25,1.232880909,290.2850633
364.35,1.232635769,290.4083269
364.45,1.233114091,290.5316383
364.55,1.233227693,290.6549611
364.65,1.233425,290.7783036
364.75,1.233425,290.9016461
364.85,1.233425,291.0249886
364.95,1.233819615,291.1483706
365.05,1.233425,291.2717131
365.15,1.233359231,291.395049
365.25,1.233580454,291.518407
365.35,1.233622307,291.6417693
365.45,1.233502727,291.7651195
365.55,1.233425,291.888462
365.65,1.232492273,292.0117113
365.75,1.232109615,292.1349222
365.85,1.231715,292.2580937
365.95,1.231912307,292.381285
366.05,1.231637273,292.5044487
366.15,1.231583462,292.627607
366.25,1.231637273,292.7507708
366.35,1.232175385,292.8739883
366.45,1.232336818,292.997222
366.55,1.232175385,293.1204395
366.65,1.232259091,293.2436654
366.75,1.231978077,293.3668632
366.85,1.232103636,293.4900736
366.95,1.232043846,293.613278
367.05,1.231792727,293.7364572
367.15,1.232241154,293.8596814
367.25,1.231715,293.9828529
367.35,1.231978077,294.1060507
367.45,1.232103636,294.229261
367.55,1.231715,294.3524325
367.65,1.231093182,294.4755419
367.75,1.230531154,294.598595
367.85,1.23086,294.721681
367.95,1.230005,294.8446815
368.05,1.229694091,294.9676509
368.15,1.230005,295.0906514
368.25,1.230005,295.2136519
368.35,1.229281538,295.33658
368.45,1.229694091,295.4595494
368.55,1.229939231,295.5825434
368.65,1.22915,295.7054584
368.75,1.229741923,295.8284326
368.85,1.228839091,295.9513165
368.95,1.229347307,296.0742512
369.05,1.228839091,296.1971351
369.15,1.228623846,296.3199975
369.25,1.227750909,296.4427726
369.35,1.227900385,296.5655626
369.45,1.22744,296.6883066
369.55,1.227176923,296.8110243
369.65,1.227828636,296.9338072
369.75,1.227374231,297.0565446
369.85,1.227051364,297.1792497
369.95,1.227242693,297.301974
370.05,1.226585,297.4246325
370.15,1.226716538,297.5473042
370.25,1.227051364,297.6700093
370.35,1.226585,297.7926678
370.45,1.226585,297.9153263
370.55,1.226585,298.0379848
370.65,1.226585,298.1606433
370.75,1.226256154,298.2832689
370.85,1.226585,298.4059274
370.95,1.226124615,298.5285399
371.05,1.22573,298.6511129
371.15,1.22573,298.7736859
371.25,1.22573,298.8962589
371.35,1.225138077,299.0187727
371.45,1.225419091,299.1413146
371.55,1.225598462,299.2638744
371.65,1.22573,299.3864474
371.75,1.225006538,299.5089481
371.85,1.225652273,299.6315133
371.95,1.228689615,299.7543823
372.05,1.238166364,299.8781989
372.15,1.257628077,300.0039617
372.25,1.2840125,300.132363
