Temp (K) ,cp (J/g-K),Enthalpy (J/g)
290.95,1.1966,22.05992182
291.05,1.196436364,22.17956545
291.15,1.196923077,22.29925776
291.25,1.196709091,22.41892867
291.35,1.196923077,22.53862098
291.45,1.197254545,22.65834643
291.55,1.197476923,22.77809412
291.65,1.197745455,22.89786867
291.75,1.198123077,23.01768098
291.85,1.1978,23.13746098
291.95,1.198307692,23.25729175
292.05,1.198236364,23.37711538
292.15,1.1984,23.49695538
292.25,1.198781818,23.61683356
292.35,1.198769231,23.73671049
292.45,1.1984,23.85655049
292.55,1.198538461,23.97640433
292.65,1.199327273,24.09633706
292.75,1.199092308,24.21624629
292.85,1.199872727,24.33623356
292.95,1.200015385,24.4562351
293.05,1.200581818,24.57629328
293.15,1.2008,24.69637328
293.25,1.2008,24.81645328
293.35,1.201169231,24.93657021
293.45,1.201345455,25.05670475
293.55,1.201030769,25.17680783
293.65,1.201563636,25.29696419
293.75,1.201630769,25.41712727
293.85,1.201672727,25.53729454
293.95,1.202,25.65749454
294.05,1.202,25.77769454
294.15,1.202553846,25.89794993
294.25,1.202818182,26.01823175
294.35,1.2032,26.13855175
294.45,1.203527273,26.25890447
294.55,1.204076923,26.37931216
294.65,1.2038,26.49969216
294.75,1.204076923,26.62009986
294.85,1.2044,26.74053986
294.95,1.204953846,26.86103524
295.05,1.205054545,26.9815407
295.15,1.205,27.1020407
295.25,1.205,27.2225407
295.35,1.205046154,27.34304531
295.45,1.206145455,27.46365986
295.55,1.2062,27.58427986
295.65,1.207181818,27.70499804
295.75,1.207953846,27.82579342
295.85,1.207563636,27.94654979
295.95,1.208,28.06734979
296.05,1.208,28.18814979
296.15,1.2086,28.30900979
296.25,1.208927273,28.42990251
296.35,1.209153846,28.5508179
296.45,1.209472727,28.67176517
296.55,1.210076923,28.79277286
296.65,1.210236364,28.9137965
296.75,1.210584615,29.03485496
296.85,1.210672727,29.15592223
296.95,1.210676923,29.27698993
297.05,1.211,29.39808993
297.15,1.211184615,29.51920839
297.25,1.2116,29.64036839
297.35,1.212061539,29.76157454
297.45,1.212309091,29.88280545
297.55,1.212892308,30.00409468
297.65,1.213181818,30.12541286
297.75,1.213584615,30.24677133
297.85,1.214272727,30.3681986
297.95,1.2146,30.4896586
298.05,1.2152,30.6111786
298.15,1.2152,30.7326986
298.25,1.215690909,30.85426769
298.35,1.215984615,30.97586615
298.45,1.2164,31.09750615
298.55,1.216538461,31.21916
298.65,1.217272727,31.34088727
298.75,1.2176,31.46264727
298.85,1.2182,31.58446727
298.95,1.2182,31.70628727
299.05,1.218254545,31.82811272
299.15,1.219169231,31.95002965
299.25,1.219018182,32.07193147
299.35,1.2194,32.19387147
299.45,1.219672727,32.31583874
299.55,1.220369231,32.43787566
299.65,1.220709091,32.55994657
299.75,1.221153846,32.68206195
299.85,1.221254545,32.80418741
299.95,1.221938461,32.92638126
300.05,1.222563636,33.04863762
300.15,1.223184615,33.17095608
300.25,1.224090909,33.29336517
300.35,1.224707692,33.41583594
300.45,1.225018182,33.53833776
300.55,1.2254,33.66087776
300.65,1.2254,33.78341776
300.75,1.225957143,33.90601347
300.85,1.2263,34.02864347
300.95,1.226985714,34.15134204
301.05,1.22756,34.27409804
301.15,1.227628572,34.3968609
301.25,1.22792,34.5196529
301.35,1.228676923,34.64252059
301.45,1.229327273,34.76545332
301.55,1.2299,34.88844332
301.65,1.23062,35.01150532
301.75,1.2314,35.13464532
301.85,1.23158,35.25780332
301.95,1.232214286,35.38102475
302.05,1.23332,35.50435675
302.15,1.233242857,35.62768104
302.25,1.23416,35.75109704
302.35,1.234228572,35.87451989
302.45,1.235,35.99801989
302.55,1.235171428,36.12153704
302.65,1.23542,36.24507904
302.75,1.236114286,36.36869046
302.85,1.2368,36.49237046
302.95,1.237353846,36.61610585
303.05,1.237454545,36.7398513
303.15,1.238046154,36.86365592
303.25,1.23842,36.98749792
303.35,1.2392,37.11141792
303.45,1.2398,37.23539792
303.55,1.2401,37.35940792
303.65,1.241,37.48350792
