Temp (K) ,cp (J/g-K),Enthalpy (J/g)
273.25,0.399885136,0
273.35,0.4028125,0.440166386
273.45,0.5639375,0.496560136
273.55,0.750235294,0.571583665
273.65,0.871517857,0.658735451
273.75,0.968375,0.755572951
273.85,1.043634616,0.859936412
273.95,1.0911,0.969046412
274.05,1.1305,1.082096412
274.15,1.1624,1.198336412
274.25,1.187477273,1.31708414
274.35,1.20295,1.43737914
274.45,1.214681818,1.558847321
274.55,1.224125,1.681259821
274.65,1.2348125,1.804741071
274.75,1.237732143,1.928514286
274.85,1.241613637,2.052675649
274.95,1.243839286,2.177059578
275.05,1.244477273,2.301507305
275.15,1.246357143,2.426143019
275.25,1.2455,2.550693019
275.35,1.246076923,2.675300712
275.45,1.246,2.799900712
275.55,1.245153847,2.924416096
275.65,1.245772727,3.048993369
275.75,1.245767857,3.173570155
275.85,1.244477273,3.298017882
275.95,1.244403847,3.422458267
276.05,1.243795455,3.546837812
276.15,1.242875,3.671125312
276.25,1.241818182,3.79530713
276.35,1.24025,3.91933213
276.45,1.239636364,4.043295767
276.55,1.238173077,4.167113074
276.65,1.235875,4.290700574
276.75,1.233846154,4.41408519
276.85,1.233022727,4.537387463
276.95,1.230096154,4.660397078
277.05,1.228318182,4.783228896
277.15,1.226428572,4.905871753
277.25,1.224159091,5.028287662
277.35,1.222423077,5.15052997
277.45,1.219795455,5.272509516
277.55,1.218442308,5.394353746
277.65,1.215977273,5.515951474
277.75,1.213410715,5.637292545
277.85,1.21085,5.758377545
277.95,1.209125,5.879290045
278.05,1.206159091,5.999905954
278.15,1.203788461,6.1202848
278.25,1.202409091,6.240525709
278.35,1.200038461,6.360529556
278.45,1.197568182,6.480286374
278.55,1.195307692,6.599817143
278.65,1.194159091,6.719233052
278.75,1.192410715,6.838474124
278.85,1.1903,6.957504124
278.95,1.188269231,7.076331047
279.05,1.1870625,7.195037297
279.15,1.184634616,7.313500758
279.25,1.181818182,7.431682576
279.35,1.180596154,7.549742192
279.45,1.178613637,7.667603555
279.55,1.177076923,7.785311248
279.65,1.174795455,7.902790793
279.75,1.173326923,8.020123485
279.85,1.171454545,8.13726894
279.95,1.169576923,8.254226632
280.05,1.168590909,8.371085723
280.15,1.166865385,8.487772262
280.25,1.165590909,8.604331353
280.35,1.163980769,8.720729429
280.45,1.162863637,8.837015793
280.55,1.1615,8.953165793
280.65,1.160681818,9.069233975
280.75,1.159076923,9.185141667
280.85,1.158295455,9.300971213
280.95,1.156892857,9.416660498
281.05,1.15565,9.532225498
281.15,1.154482143,9.647673713
281.25,1.153325,9.763006213
281.35,1.152017857,9.878207998
281.45,1.150386364,9.993246635
281.55,1.149673077,10.10821394
281.65,1.148681818,10.22308212
281.75,1.147884616,10.33787059
281.85,1.146840909,10.45255468
281.95,1.14575,10.56712968
282.05,1.145,10.68162968
282.15,1.14425,10.79605468
282.25,1.144045455,10.91045922
282.35,1.143038461,11.02476307
282.45,1.142545455,11.13901761
282.55,1.141192308,11.25313684
282.65,1.14125,11.36726184
282.75,1.1405,11.48131184
282.85,1.139409091,11.59525275
282.95,1.139115385,11.70916429
283.05,1.137363637,11.82290066
283.15,1.137384616,11.93663912
283.25,1.136681818,12.0503073
283.35,1.136576923,12.16396499
283.45,1.136,12.27756499
283.55,1.136,12.39116499
283.65,1.135590909,12.50472408
283.75,1.134673077,12.61819139
283.85,1.1345,12.73164139
283.95,1.133865385,12.84502793
284.05,1.1345,12.95847793
284.15,1.134038461,13.07188177
284.25,1.133681818,13.18524996
284.35,1.133,13.29854996
284.45,1.132522727,13.41180223
284.55,1.131557692,13.524958
284.65,1.131636364,13.63812163
284.75,1.131269231,13.75124856
284.85,1.13075,13.86432356
284.95,1.130346154,13.97735817
285.05,1.130613637,14.09041954
285.15,1.129769231,14.20339646
285.25,1.12925,14.31632146
285.35,1.12925,14.42924646
285.45,1.129386364,14.5421851
285.55,1.12925,14.6551101
285.65,1.12925,14.7680351
285.75,1.12925,14.8809601
285.85,1.12925,14.9938851
285.95,1.128846154,15.10676971
286.05,1.129113637,15.21968108
286.15,1.128557692,15.33253684
286.25,1.1285,15.44538684
286.35,1.128673077,15.55825415
286.45,1.1285,15.67110415
286.55,1.128285715,15.78393272
286.65,1.1279,15.89672272
286.75,1.12775,16.00949772
286.85,1.127954545,16.12229318
286.95,1.12775,16.23506818
287.05,1.1276,16.34782818
287.15,1.127576923,16.46058587
287.25,1.127409091,16.57332678
287.35,1.12775,16.68610178
287.45,1.12775,16.79887678
287.55,1.127214286,16.91159821
287.65,1.127975,17.02439571
287.75,1.128125,17.13720821
287.85,1.127075,17.24991571
287.95,1.127696428,17.36268535
288.05,1.12775,17.47546035
288.15,1.127173077,17.58817766
288.25,1.127375,17.70091516
288.35,1.127428572,17.81365802
288.45,1.12685,17.92634302
288.55,1.127910715,18.03913409
288.65,1.12775,18.15190909
288.75,1.127857143,18.2646948
288.85,1.128431818,18.37753798
288.95,1.128211539,18.49035914
289.05,1.128909091,18.60325005
289.15,1.128615385,18.71611158
289.25,1.12925,18.82903658
289.35,1.128846154,18.9419212
289.45,1.128909091,19.05481211
289.55,1.128846154,19.16769672
289.65,1.12925,19.28062172
289.75,1.128846154,19.39350634
289.85,1.128875,19.50639384
289.95,1.129517857,19.61934563
290.05,1.12925,19.73227063
290.15,1.12925,19.84519563
290.25,1.12925,19.95812063
290.35,1.129884616,20.07110909
290.45,1.130477273,20.18415681
290.55,1.130288461,20.29718566
290.65,1.130204545,20.41020612
290.75,1.130461539,20.52325227
290.85,1.13075,20.63632727
290.95,1.13075,20.74940227
291.05,1.130545455,20.86245681
291.15,1.131153847,20.9755722
291.25,1.130886364,21.08866084
