Temperature (°C),Heat Capacity (Normalized) (J/(g.°C)),Enthalpy (J/g)
10.0,1.79,0.0
10.376884422110553,1.800537688442211,0.6772688442211059
10.753768844221106,1.81,1.3581216080402025
11.130653266331658,1.816,2.041866331658291
11.507537688442211,1.8231507537688443,2.727956281407035
11.884422110552764,1.8271557788944723,3.4162391959798994
12.261306532663317,1.8323869346733668,4.106313567839197
12.638190954773869,1.8357638190954773,4.797856783919597
13.015075376884422,1.8383015075376885,5.490338693467336
13.391959798994975,1.843,6.184481909547738
13.768844221105528,1.8473768844221106,6.8799241206030155
14.145728643216081,1.8489145728643217,7.576597989949751
14.522613065326635,1.8514522613065327,8.274102010050255
14.899497487437186,1.8549899497487436,8.972567839195978
15.27638190954774,1.8585276381909548,9.672393969849246
15.65326633165829,1.8610653266331658,10.373381909547739
16.030150753768844,1.8623015075376885,11.074870854271357
16.407035175879397,1.864070351758794,11.777320603015076
16.78391959798995,1.8668391959798996,12.480377889447237
17.160804020100503,1.867,13.18392110552764
17.537688442211056,1.8693768844221106,13.888277386934675
17.91457286432161,1.871854271356784,14.59316582914573
18.291457286432163,1.8730854271356785,15.29899949748744
18.668341708542712,1.877683417085427,16.006245728643215
19.04522613065327,1.881,16.7145703517588
19.42211055276382,1.8816633165829146,17.423556281407034
19.798994974874372,1.8849698492462312,18.13350552763819
20.175879396984925,1.8875175879396984,18.84446030150754
20.55276381909548,1.8905276381909548,19.55637638190955
20.92964824120603,1.8912964824120604,20.26929447236181
21.30653266331658,1.8950653266331658,20.982885929648237
21.683417085427138,1.8978341708542714,21.697825628140706
22.060301507537687,1.9016030150753769,22.414193467336677
22.437185929648244,1.9027437185929648,23.13140201005026
22.814070351758794,1.906,23.849118090452258
23.190954773869347,1.9107286432160804,24.568314572864324
23.5678391959799,1.913356783919598,25.288844221105528
23.944723618090453,1.914894472361809,26.01039045226131
24.321608040201006,1.91921608040201,26.733187437185933
24.698492462311556,1.9249698492462313,27.457797989949746
25.075376884422113,1.9282613065326635,28.183902010050254
25.452261306532662,1.932,28.911568844221105
25.82914572864322,1.9362914572864323,29.640655276381914
26.20603015075377,1.940180904522613,30.371316582914574
26.582914572864322,1.946,31.104251758793968
26.959798994974875,1.9511959798994976,31.83912763819096
27.33668341708543,1.9581005025125628,32.57609949748744
27.71356783919598,1.963678391959799,33.31560150753769
28.090452261306535,1.973,34.05826231155779
28.467336683417088,1.978673366834171,34.80335929648242
28.84422110552764,1.9867688442211058,35.55125577889448
29.22110552763819,1.9966331658291459,36.30238994974874
29.597989949748744,2.006959798994975,37.05756582914572
29.974874371859297,2.017994974874372,37.81677135678392
30.35175879396985,2.0290351758793967,38.5800703517588
30.728643216080403,2.04643216080402,39.34901859296483
31.105527638190956,2.068276381909548,40.12515879396985
31.48241206030151,2.0922412060301507,40.90967085427136
31.859296482412063,2.1229648241206034,41.70500502512564
32.23618090452261,2.168427135678392,42.51490201005025
32.61306532663316,2.233005025125627,43.34773618090451
32.98994974874372,2.3004924623115577,44.20586432160804
33.366834170854275,2.3833768844221117,45.09296733668343
33.743718592964825,2.4776130653266337,46.0124527638191
34.120603015075375,2.5747688442211047,46.97040603015074
34.49748743718593,2.6614974874371864,47.961111557788946
34.87437185929649,2.7714120603015084,48.99238190954775
35.25125628140704,2.86932663316583,50.06102060301509
35.62814070351759,2.979502512562814,51.1675688442211
36.00502512562814,3.0742110552763804,52.31325829145728
36.381909547738694,3.1891155778894476,53.502019095477394
36.75879396984925,3.30340703517588,54.73130804020102
37.1356783919598,3.4034924623115574,55.99731306532663
37.51256281407035,3.4976432160804016,57.30255879396984
37.88944723618091,3.601783919597991,58.64626783919599
38.26633165829146,3.7162361809045246,60.031851758794
38.64321608040201,3.8184221105527643,61.45624974874372
39.02010050251256,3.9236281407035176,62.921016582914575
39.39698492462311,4.020035175879396,64.42137638190954
39.77386934673367,4.124512562814071,65.96388040201005
40.150753768844226,4.186658291457287,67.5338135678392
40.527638190954775,4.243869346733669,69.12527286432162
40.904522613065325,4.28827135678392,70.73702010050252
41.28140703517588,4.307070351758794,72.3578015075377
41.65829145728644,4.317582914572864,73.98380251256283
42.03517587939699,4.314185929648241,75.61027286432162
42.41206030150754,4.252623115577889,77.22549095477387
42.788944723618094,4.059628140703513,78.78720402010052
43.165829145728644,3.79689447236181,80.2543391959799
43.5427135678392,3.5127889447236162,81.61797135678393
43.91959798994975,3.232592964824119,82.8778959798995
44.29648241206031,3.0196884422110513,84.04678391959801
44.67336683417086,2.831386934673367,85.13916783919598
45.050251256281406,2.7214221105527643,86.17897989949748
45.42713567839196,2.6274723618090445,87.18204120603016
45.80402010050251,2.5708391959798997,88.15881959798996
46.18090452261307,2.545718592964824,89.12202110552764
46.55778894472362,2.5285326633165828,90.07737487437186
46.934673366834176,2.511266331658291,91.02596080402012
47.311557788944725,2.4938844221105527,91.9683135678392
47.68844221105528,2.4852311557788944,92.90637889447237
48.06532663316583,2.4826532663316585,93.84240603015076
48.44221105527638,2.4825778894472363,94.77776783919597
48.81909547738694,2.483381909547739,95.71325226130655
49.19597989949749,2.4908793969849246,96.65078592964822
49.572864321608044,2.501914572864322,97.59197939698493
49.949748743718594,2.5219849246231156,98.53961557788945
50.32663316582915,2.549864321608041,99.49634773869349
50.7035175879397,2.6056331658291456,100.46952663316583
51.08040201005026,2.6864522613065334,101.47080100502514
51.45728643216081,2.7883417085427147,102.50628844221106
51.834170854271356,2.9223015075376892,103.58876733668343
52.21105527638191,3.086969849246232,104.72925829145728
52.58793969849246,3.309884422110552,105.9438959798995
52.96482412060302,3.545452261306537,107.2438462311558
53.34170854271357,3.8163718592964857,108.64601206030152
53.718592964824126,4.15554773869347,110.1637110552764
54.095477386934675,4.499291457286433,111.81143467336683
54.47236180904523,4.919175879396993,113.60928040201009
54.84924623115578,5.366140703517593,115.56661155778896
55.22613065326633,5.80334673366834,117.6926175879397
55.60301507537689,6.267582914572867,119.98954170854273
55.97989949748744,6.772874371859297,122.4752567839196
56.356783919597994,7.281819095477395,125.1521804020101
56.733668341708544,7.7860552763819095,128.02103417085428
57.1105527638191,8.287100502512569,131.07606030150757
57.48743718592965,8.821040201005028,134.33236984924625
57.86432160804021,9.348693467336693,137.78385879396993
58.24120603015076,9.87527638190955,141.4309884422111
58.618090452261306,10.378678391959797,145.27002211055276
58.99497487437186,10.900713567839201,149.30538592964828
59.37185929648241,11.39273366834171,153.53617688442213
59.74874371859297,11.897929648241211,157.9538723618091
60.12562814070352,12.386060301507536,162.5580904522613
60.502512562814076,12.82966331658292,167.33559497487445
60.879396984924625,13.151105527638194,172.2540994974875
61.25628140703518,13.240809045226131,177.23764070351768
61.63316582914573,13.159085427135677,182.2147015075377
62.01005025125628,12.828396984924623,187.11007537688442
62.38693467336684,11.84438190954772,191.72885527638198
62.76381909547739,9.968532663316575,195.77673618090455
63.140703517587944,7.349341708542695,198.91489045226135
63.517587939698494,5.242407035175875,201.1525502512563
63.89447236180905,4.0265929648241015,202.8233231155779
64.2713567839196,3.3102562814070295,204.1605798994975
64.64824120603015,2.8292763819095508,205.28906582914573
65.0251256281407,2.5296984924623134,206.2791889447236
65.40201005025125,2.3590351758793995,207.18954723618089
65.77889447236181,2.2517989949748736,208.04935477386937
66.15577889447236,2.177748743718593,208.87925175879397
66.53266331658293,2.1523668341708535,209.69389346733672
66.90954773869348,2.1347135678391953,210.5010557788945
67.28643216080403,2.125407035175879,211.30336834170856
67.66331658291458,2.1141005025125628,212.1015879396985
68.04020100502512,2.104793969849246,212.89594271356785
68.41708542713567,2.0956582914572865,213.6867768844221
68.79396984924622,2.0911206030150757,214.47549095477387
69.17085427135679,2.085582914572864,215.2623311557789
69.54773869346734,2.082,216.047491959799
69.9246231155779,2.078,216.83106683417085
70.30150753768845,2.072,217.6130236180905
70.678391959799,2.07,218.39367135678393
71.05527638190955,2.0644472361809045,219.1723904522613
71.4321608040201,2.062035175879397,219.9499512562814
71.80904522613065,2.06,220.72643316582915
72.1859296482412,2.059281407035176,221.50292914572864
72.56281407035176,2.058,222.27877135678392
72.93969849246231,2.055603015075377,223.05368040201006
73.31658291457288,2.0566683417085425,223.82867788944728
73.69346733668343,2.0560653266331657,224.6034688442211
74.07035175879398,2.0565929648241204,225.37854321608043
74.44723618090453,2.057472361809045,226.1536120603015
74.82412060301507,2.059241206030151,226.92928844221106
75.20100502512564,2.062,227.70587236180907
75.57788944723619,2.063221105527638,228.48338592964825
75.95477386934674,2.063,229.2609984924623
76.33165829145729,2.0656331658291456,230.03913768844222
76.70854271356784,2.0681708542713566,230.8182834170854
77.0854271356784,2.072145728643216,231.59910502512565
77.46231155778895,2.0726231155778896,232.3801718592965
77.8391959798995,2.074608040201005,233.16149246231154
78.21608040201005,2.075321608040201,233.94369899497488
78.59296482412061,2.0789296482412065,234.72677386934677
78.96984924623116,2.082,235.51132613065326
79.34673366834171,2.0839346733668345,236.29633969849246
79.72361809045226,2.086,237.08216733668343
80.10050251256281,2.090994974874372,237.8692502512563
80.47738693467338,2.0915477386934676,238.6571934673367
80.85427135678393,2.092,239.44573567839197
81.23115577889448,2.0946231155778894,240.23480251256282
81.60804020100502,2.09708040201005,241.02506834170853
81.98492462311559,2.1001507537688444,241.81634170854275
82.36180904522614,2.1,242.60799899497488
82.73869346733669,2.105,243.40074974874372
83.11557788944724,2.1071557788944726,244.19463819095478
83.49246231155779,2.110924623115578,244.9898879396985
83.86934673366835,2.115386934673367,245.78633768844222
84.2462311557789,2.1154623115577893,246.58362512562815
84.62311557788945,2.1182311557788944,247.38138190954777
85.0,2.12,248.1803
