Temp (C),cp (J/g-C),Enthalpy (J/g)
-1.1111111111111143,1.79,0.0
-0.7342266890005615,1.800537688442211,0.6772688442211059
-0.3573422668900087,1.81,1.3581216080402008
0.019542155220544144,1.816,2.0418663316582926
0.3964265773310969,1.8231507537688443,2.727956281407035
0.7733109994416496,1.8271557788944723,3.4162391959798994
1.1501954215522026,1.8323869346733668,4.106313567839197
1.5270798436627553,1.8357638190954773,4.797856783919599
1.903964265773308,1.8383015075376885,5.490338693467336
2.2808486878838607,1.843,6.184481909547738
2.6577331099944135,1.8473768844221106,6.8799241206030155
3.034617532104966,1.8489145728643217,7.576597989949751
3.4115019542155194,1.8514522613065327,8.274102010050255
3.7883863763260717,1.8549899497487436,8.972567839195978
4.165270798436625,1.8585276381909548,9.672393969849246
4.542155220547177,1.8610653266331658,10.373381909547739
4.91903964265773,1.8623015075376885,11.074870854271357
5.2959240647682835,1.864070351758794,11.777320603015076
5.672808486878836,1.8668391959798996,12.480377889447237
6.049692908989389,1.867,13.18392110552764
6.426577331099941,1.8693768844221106,13.888277386934675
6.803461753210494,1.871854271356784,14.59316582914573
7.180346175321047,1.8730854271356785,15.298999497487436
7.5572305974316,1.877683417085427,16.00624572864322
7.934115019542153,1.881,16.714570351758795
8.310999441652706,1.8816633165829146,17.423556281407038
8.687883863763258,1.8849698492462312,18.13350552763819
9.06476828587381,1.8875175879396984,18.84446030150754
9.441652707984364,1.8905276381909548,19.55637638190955
9.818537130094917,1.8912964824120604,20.26929447236181
10.195421552205469,1.8950653266331658,20.982885929648237
10.572305974316022,1.8978341708542714,21.697825628140706
10.949190396426575,1.9016030150753769,22.414193467336677
11.326074818537128,1.9027437185929648,23.13140201005026
11.702959240647681,1.906,23.849118090452258
12.079843662758233,1.9107286432160804,24.568314572864324
12.456728084868786,1.913356783919598,25.288844221105528
12.833612506979339,1.914894472361809,26.01039045226131
13.210496929089892,1.91921608040201,26.733187437185933
13.587381351200444,1.9249698492462313,27.457797989949746
13.964265773310997,1.9282613065326635,28.183902010050254
14.34115019542155,1.932,28.911568844221105
14.718034617532103,1.9362914572864323,29.640655276381914
15.094919039642654,1.940180904522613,30.371316582914574
15.471803461753208,1.946,31.104251758793968
15.84868788386376,1.9511959798994976,31.83912763819096
16.225572305974314,1.9581005025125628,32.57609949748744
16.602456728084867,1.963678391959799,33.31560150753769
16.97934115019542,1.973,34.05826231155779
17.356225572305974,1.978673366834171,34.80335929648242
17.733109994416527,1.9867688442211058,35.55125577889448
18.109994416527076,1.9966331658291459,36.30238994974874
18.48687883863763,2.006959798994975,37.05756582914572
18.863763260748183,2.017994974874372,37.81677135678392
19.240647682858736,2.0290351758793967,38.5800703517588
19.61753210496929,2.04643216080402,39.34901859296483
19.994416527079842,2.068276381909548,40.12515879396985
20.371300949190395,2.0922412060301507,40.90967085427136
20.74818537130095,2.1229648241206034,41.70500502512564
21.1250697934115,2.1684271356783924,42.51490201005026
21.50195421552205,2.2330050251256277,43.34773618090452
21.878838637632605,2.3004924623115577,44.20586432160804
22.255723059743158,2.383376884422111,45.09296733668342
22.63260748185371,2.4776130653266337,46.0124527638191
23.009491903964264,2.5747688442211056,46.970406030150755
23.386376326074817,2.6614974874371864,47.961111557788946
23.76326074818537,2.771412060301508,48.992381909547746
24.140145170295924,2.86932663316583,50.06102060301509
24.517029592406477,2.9795025125628145,51.16756884422111
24.893914014517026,3.0742110552763817,52.31325829145729
25.27079843662758,3.1891155778894476,53.502019095477394
25.647682858738133,3.3034070351758795,54.73130804020101
26.024567280848686,3.4034924623115574,55.99731306532663
26.40145170295924,3.4976432160804016,57.30255879396984
26.778336125069792,3.601783919597991,58.64626783919599
27.155220547180345,3.7162361809045246,60.031851758794
