Temperature,Heat Capacity (Normalized),Enthalpy
30,2.808,49.3443
30.1,2.834,49.6277
30.2,2.856,49.9133
30.3,2.882,50.2015
30.4,2.903,50.4918
30.5,2.941,50.7859
30.6,2.975,51.0834
30.7,2.991,51.3825
30.8,3.027,51.6852
30.9,3.052,51.9904
31,3.072,52.2976
31.1,3.116,52.6092
31.2,3.145,52.9237
31.3,3.167,53.2404
31.4,3.194,53.5598
31.5,3.229,53.8827
31.6,3.246,54.2073
31.7,3.294,54.5367
31.8,3.31,54.8677
31.9,3.331,55.2008
32,3.35,55.5358
32.1,3.396,55.8754
32.2,3.417,56.2171
32.3,3.448,56.5619
32.4,3.47,56.9089
32.5,3.494,57.2583
32.6,3.523,57.6106
32.7,3.55,57.9656
32.8,3.583,58.3239
32.9,3.604,58.6843
33,3.643,59.0486
33.1,3.664,59.415
33.2,3.697,59.7847
33.3,3.726,60.1573
33.4,3.744,60.5317
33.5,3.784,60.9101
33.6,3.802,61.2903
33.7,3.84,61.6743
33.8,3.871,62.0614
33.9,3.885,62.4499
34,3.918,62.8417
34.1,3.946,63.2363
34.2,3.962,63.6325
34.3,3.989,64.0314
34.4,4.021,64.4335
34.5,4.048,64.8383
34.6,4.096,65.2479
34.7,4.109,65.6588
34.8,4.13,66.0718
34.9,4.148,66.4866
35,4.166,66.9032
35.1,4.176,67.3208
35.2,4.197,67.7405
35.3,4.209,68.1614
35.4,4.223,68.5837
35.5,4.24,69.0077
35.6,4.254,69.4331
35.7,4.274,69.8605
35.8,4.283,70.2888
35.9,4.288,70.7176
36,4.294,71.147
36.1,4.298,71.5768
36.2,4.303,72.0071
36.3,4.308,72.4379
36.4,4.311,72.869
36.5,4.314,73.3004
36.6,4.317,73.7321
36.7,4.318,74.1639
36.8,4.315,74.5954
36.9,4.316,75.027
37,4.317,75.4587
37.1,4.309,75.8896
37.2,4.305,76.3201
37.3,4.288,76.7489
37.4,4.256,77.1745
37.5,4.228,77.5973
37.6,4.174,78.0147
37.7,4.121,78.4268
37.8,4.052,78.832
37.9,3.979,79.2299
38,3.919,79.6218
38.1,3.841,80.0059
38.2,3.774,80.3833
38.3,3.703,80.7536
38.4,3.621,81.1157
38.5,3.535,81.4692
38.6,3.483,81.8175
38.7,3.402,82.1577
38.8,3.334,82.4911
38.9,3.242,82.8153
39,3.194,83.1347
39.1,3.143,83.449
39.2,3.066,83.7556
39.3,3.018,84.0574
39.4,2.973,84.3547
39.5,2.915,84.6462
39.6,2.86,84.9322
39.7,2.821,85.2143
39.8,2.789,85.4932
39.9,2.761,85.7693
40,2.737,86.043
40.1,2.706,86.3136
40.2,2.685,86.5821
40.3,2.658,86.8479
