Temperature (°C),Heat Capacity (Normalized) (J/(g.°C)),Enthalpy (J/g)
0.2666666666666657,1.79,0.0
0.6435510887772184,1.800537688442211,0.6772688442211059
1.0204355108877712,1.81,1.3581216080402008
1.3973199329983241,1.816,2.0418663316582926
1.7742043551088769,1.8231507537688443,2.727956281407035
2.15108877721943,1.8271557788944723,3.4162391959798994
2.5279731993299825,1.8323869346733668,4.106313567839197
2.9048576214405353,1.8357638190954773,4.797856783919599
3.281742043551088,1.8383015075376885,5.490338693467336
3.6586264656616407,1.843,6.184481909547738
4.035510887772194,1.8473768844221106,6.8799241206030155
4.412395309882746,1.8489145728643217,7.576597989949751
4.789279731993299,1.8514522613065327,8.274102010050255
5.166164154103852,1.8549899497487436,8.972567839195978
5.543048576214405,1.8585276381909548,9.672393969849246
5.919932998324957,1.8610653266331658,10.373381909547739
6.29681742043551,1.8623015075376885,11.074870854271357
6.6737018425460635,1.864070351758794,11.777320603015076
7.050586264656616,1.8668391959798996,12.480377889447237
7.427470686767169,1.867,13.18392110552764
7.804355108877721,1.8693768844221106,13.888277386934675
8.181239530988275,1.871854271356784,14.59316582914573
8.558123953098827,1.8730854271356785,15.298999497487436
8.93500837520938,1.877683417085427,16.00624572864322
9.311892797319933,1.881,16.714570351758795
9.688777219430486,1.8816633165829146,17.423556281407038
10.065661641541038,1.8849698492462312,18.13350552763819
10.44254606365159,1.8875175879396984,18.84446030150754
10.819430485762144,1.8905276381909548,19.55637638190955
11.196314907872697,1.8912964824120604,20.26929447236181
11.573199329983249,1.8950653266331658,20.982885929648237
11.950083752093802,1.8978341708542714,21.697825628140706
12.326968174204355,1.9016030150753769,22.414193467336677
12.703852596314908,1.9027437185929648,23.13140201005026
13.080737018425461,1.906,23.849118090452258
13.457621440536013,1.9107286432160804,24.568314572864324
13.834505862646566,1.913356783919598,25.288844221105528
14.211390284757119,1.914894472361809,26.01039045226131
14.588274706867672,1.91921608040201,26.733187437185933
14.965159128978224,1.9249698492462313,27.457797989949746
15.342043551088777,1.9282613065326635,28.183902010050254
15.71892797319933,1.932,28.911568844221105
16.095812395309885,1.9362914572864323,29.640655276381914
16.472696817420434,1.940180904522613,30.371316582914574
16.849581239530988,1.946,31.104251758793968
17.22646566164154,1.9511959798994976,31.83912763819096
17.603350083752094,1.9581005025125628,32.57609949748744
17.980234505862647,1.963678391959799,33.31560150753769
18.3571189279732,1.973,34.05826231155779
18.734003350083754,1.978673366834171,34.80335929648242
19.110887772194307,1.9867688442211058,35.55125577889448
19.487772194304856,1.9966331658291459,36.30238994974874
19.86465661641541,2.006959798994975,37.05756582914572
20.241541038525963,2.017994974874372,37.81677135678392
20.618425460636516,2.0290351758793967,38.5800703517588
20.99530988274707,2.04643216080402,39.34901859296483
21.372194304857622,2.068276381909548,40.12515879396985
21.749078726968175,2.0922412060301507,40.90967085427136
22.12596314907873,2.1229648241206034,41.70500502512564
22.50284757118928,2.1684271356783924,42.51490201005026
22.87973199329983,2.2330050251256277,43.34773618090452
23.256616415410384,2.3004924623115577,44.20586432160804
23.633500837520938,2.383376884422111,45.09296733668342
24.01038525963149,2.4776130653266337,46.0124527638191
24.387269681742044,2.5747688442211056,46.970406030150755
24.764154103852597,2.6614974874371864,47.961111557788946
25.14103852596315,2.771412060301508,48.992381909547746
25.517922948073704,2.86932663316583,50.06102060301509
25.894807370184257,2.9795025125628145,51.16756884422111
26.271691792294806,3.0742110552763817,52.31325829145729
26.64857621440536,3.1891155778894476,53.502019095477394
27.025460636515913,3.3034070351758795,54.73130804020101
27.402345058626466,3.4034924623115574,55.99731306532663
27.77922948073702,3.4976432160804016,57.30255879396984
28.156113902847572,3.601783919597991,58.64626783919599
28.532998324958125,3.7162361809045246,60.031851758794
28.90988274706868,3.8184221105527643,61.45624974874372
29.28676716917923,3.9236281407035176,62.921016582914575
29.66365159128978,4.020035175879396,64.42137638190954
30.040536013400335,4.124512562814071,65.96388040201005
30.417420435510888,4.186658291457287,67.5338135678392
30.79430485762144,4.243869346733669,69.12527286432162
31.171189279731994,4.28827135678392,70.73702010050252
31.548073701842547,4.307070351758794,72.3578015075377
31.9249581239531,4.317582914572864,73.98380251256283
32.301842546063654,4.314185929648241,75.61027286432162
32.6787269681742,4.252623115577889,77.22549095477387
33.05561139028476,4.059628140703513,78.78720402010052
33.43249581239531,3.79689447236181,80.2543391959799
33.809380234505866,3.5127889447236162,81.61797135678393
34.186264656616416,3.232592964824119,82.8778959798995
34.56314907872697,3.0196884422110513,84.04678391959801
34.94003350083752,2.831386934673367,85.13916783919598
35.31691792294807,2.7214221105527643,86.17897989949748
35.69380234505863,2.6274723618090445,87.18204120603016
36.07068676716918,2.5708391959798997,88.15881959798996
36.447571189279735,2.545718592964824,89.12202110552764
36.824455611390285,2.5285326633165828,90.07737487437186
37.20134003350084,2.511266331658291,91.02596080402012
37.57822445561139,2.4938844221105527,91.9683135678392
37.95510887772195,2.4852311557788944,92.90637889447237
38.3319932998325,2.4826532663316585,93.84240603015076
38.70887772194305,2.4825778894472363,94.77776783919597
39.085762144053604,2.483381909547739,95.71325226130655
39.46264656616415,2.4908793969849246,96.65078592964822
